Campaigns sent,Emails sent,Delivery rate,Delivery rate growth rate,Open rate,Open rate growth rate,Open rate total,Click rate,Click rate growth rate,Click rate total,Unsubscribe rate,Unsubscribe rate growth rate,Unsubscribe rate total,Bounce rate,Bounce rate growth rate,Bounce rate total
428,269661,97.73,-0.82,41.82,8.91,110203,15.22,7.55,40124,0.11,-0.07,279,2.27,0.82,6115
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Campaign,Date Sent,Emails Delivered,Unique Opens,Open Rate,Unique Clicks,Click Rate,CTOR,Is A/B Campaign,Subject,Total Opens,Total Sent,Total Clicks,Total Bounces,Total Unsubscribes,
Sorry to see you go email (Sept22 cohort non renewal),Wed 26 Jul 2023,281,104,37.01,9,3.2,8.65,FALSE,Sorry to see you go!,266,283,15,2,1,
One Off MG 2023/24 MYs SSD schools,Tue 18 Jul 2023,20,10,50,8,40,80,FALSE,Voice 21 Membership and next steps,20,20,28,0,0,
ONE OFF MG 2023/24 MYs SG.2 schools,Tue 18 Jul 2023,6,5,83.33,4,66.67,80,FALSE,Voice 21 Membership and next steps,19,6,37,0,0,
New Recruit schools GOE Mail Shot,Tue 18 Jul 2023,291,127,43.64,58,19.93,45.67,FALSE,Voice 21 Great Oracy Exhibition - join us in October!,502,296,180,5,0,
Jan cohort schools GOE mailshot,Tue 18 Jul 2023,392,130,33.16,52,13.27,40,FALSE,Voice 21 Great Oracy Exhibition - earlybird closing soon!,498,400,96,8,0,
Last chance for early bird tickets to our annual oracy festival; the Great Oracy Exhibition,Mon 17 Jul 2023,5402,1667,30.86,255,4.72,15.3,FALSE,Last chance for early bird tickets to our annual oracy festival; the Great Oracy Exhibition,3989,5505,558,103,10,
CEO Letter to existing schools for accreditation - Multiple year membership,Fri 14 Jul 2023,77,40,51.95,20,25.97,50,FALSE,National recognition for your commitment to oracy,83,77,112,0,0,
CEO Letter to existing schools for accreditation - 1 year membership,Fri 14 Jul 2023,60,29,48.33,15,25,51.72,FALSE,National recognition for your commitment to oracy,91,60,88,0,0,
LW - 10.7.23 Membership push,Wed 12 Jul 2023,3762,1230,32.7,200,5.32,16.26,FALSE,📩 Good news landing in your inbox!,2371,4582,284,820,24,
ONE OFF MG 2023/24 deferred external schs SG,Wed 12 Jul 2023,4,0,0,0,0,0,FALSE,Voice 21 Membership and next steps,0,4,0,0,0,
ONE OFF MG 2023/24 deferred Birkenhead and Great Crosby,Wed 12 Jul 2023,2,0,0,0,0,0,FALSE,Voice 21 Membership and next steps,0,2,0,0,0,
ONE OFF MG 2023/24 MY Ecclesfield,Wed 12 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Membership and next steps,50,1,5,0,0,
ONE OFF MG 2023/24 MYs SG schools,Wed 12 Jul 2023,10,7,70,4,40,57.14,FALSE,Voice 21 Membership and next steps,33,10,32,0,0,
The Oracy Opinion - Reflecting on Labour's pledges for oracy,Tue 11 Jul 2023,5418,2265,41.81,909,16.78,40.13,FALSE,The Oracy Opinion - Reflecting on Labour’s pledge to prioritise oracy,4425,5536,5468,118,11,
One off MG 2023/24 - deferred schools Whitgreave,Tue 11 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,1,1,2,0,0,
One off MG 2023/24 - deferred schools Binbrook,Tue 11 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,1,1,2,0,0,
One off Rendell MG 2023/24 - multi-year,Tue 11 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,4,1,1,0,0,
One off The Grange MG 2023/24 - multi-year,Tue 11 Jul 2023,1,1,100,0,0,0,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,2,1,0,0,0,
One off Scotch Orchard MG 2023/24 - multi-year,Tue 11 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,19,1,9,0,0,
One off Galton Valley MG 2023/24 - multi-year,Tue 11 Jul 2023,1,0,0,0,0,0,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,0,1,0,0,0,
LW Oracy Starter Bundle - Festival of Education,Tue 11 Jul 2023,3,1,33.33,1,33.33,100,FALSE,Voice 21 Oracy Starter Bundle,3,3,3,0,0,
Talk on Tuesday: Reflecting on Labour’s pledge to prioritise oracy,Tue 11 Jul 2023,3594,1465,40.76,798,22.2,54.47,FALSE,Talk on Tuesday: Reflecting on Labour’s pledge to prioritise oracy,5615,3597,1589,3,2,
LW Oracy Starter Bundle - Festival of Education,Mon 10 Jul 2023,64,47,73.44,21,32.81,44.68,FALSE,Voice 21 Oracy Starter Bundle,177,66,64,2,0,
MG 2023/24 - deferred schools (copy)StStephens,Wed 05 Jul 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,5,1,1,0,0,
LD South A DD4 PoL Feedback,Tue 04 Jul 2023,20,7,35,0,0,0,FALSE,Share your feedback,12,20,0,0,0,
LD Worcestershire DD4 PoL Feedback,Tue 04 Jul 2023,9,6,66.67,1,11.11,16.67,FALSE,Share your feedback,8,9,1,0,0,
Pre summer Sep 23 cohort (new business and renewals) email,Tue 04 Jul 2023,558,342,61.29,197,35.3,57.6,FALSE,Voice 21 - Looking ahead to September!,2268,563,950,5,0,
Talk on Tuesday: Assessing oracy,Tue 04 Jul 2023,3580,1801,50.31,1065,29.75,59.13,FALSE,Talk on Tuesday: Assessing oracy,5885,3585,2184,5,1,
MG 2023/24 ONE OFF Gosforth,Fri 30 Jun 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and nex,7,1,8,0,0,
Autumn 22 end line oracy survey reports,Thu 29 Jun 2023,219,146,66.67,118,53.88,80.82,FALSE,Your School's Oracy Report,1139,221,427,2,0,
LW - 28.6.23 Membership push,Wed 28 Jun 2023,498,127,25.5,13,2.61,10.24,FALSE,Don't miss out - sign up today!,216,500,13,2,1,
LD South B SSV Feedback (Primary North),Tue 27 Jun 2023,5,3,60,2,40,66.67,FALSE,Share your feedback,11,5,2,0,0,
